"Reference","Qty","Value","Footprint","LCSC Part Number"
"1.1V1,3v3,BATT+1,BATT_3v3,BOOT1,GND1,GND2,ICM_INT1,KX_INT1,MMC_INT1,RST1,USB_3.3,VBUS1,VIN1","14","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"C1,C2,C3,C4","4","4.7u","Capacitor_SMD:C_0402_1005Metric","C23733"
"C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C38,C40","25","100n","Capacitor_SMD:C_0402_1005Metric","C1525"
"C16,C17","2","15p","Capacitor_SMD:C_0402_1005Metric","C1548"
"C18,C20,C21,C23,C37,C39","6","10u","Capacitor_SMD:C_0805_2012Metric","C15850"
"C22,C35","2","1u","Capacitor_SMD:C_0805_2012Metric","C28323"
"C41","1","22u","Capacitor_SMD:C_0805_2012Metric","C45783"
"D1,D4","2","RED_LED","LED_SMD:LED_0805_2012Metric","C84256"
"D2","1","YELLOW_LED","LED_SMD:LED_0805_2012Metric","C2296"
"D3","1","GREEN_LED","LED_SMD:LED_0805_2012Metric","C2297"
"H1,H2,H3,H4","4","MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad",""
"J1","1","USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal",""
"J2","1","XT60","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical",""
"J3,J4,J5,J6,J9","5","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J7","1","MSD-4-A","otherComponents:CUI_MSD-4-A",""
"L1,L3","2","3.3u","otherComponents:AOTA-B201610S3R3-101-T(L_0806_2016metric)",""
"R1","1","33","Resistor_SMD:R_0402_1005Metric","C25105"
"R2,R3","2","22","Resistor_SMD:R_0402_1005Metric","C25092"
"R4,R5,R6","3","1k","Resistor_SMD:R_0402_1005Metric","C11702"
"R7,R8","2","4.7k","Resistor_SMD:R_0402_1005Metric","C25900"
"R9,R14,R15,R16,R17,R18","6","10k","Resistor_SMD:R_0402_1005Metric","C25744"
"R10,R11,R12,R22","4","100","Resistor_SMD:R_0402_1005Metric","C25076"
"R13","1","2m","Resistor_SMD:R_1206_3216Metric",""
"R19,R20","2","47k","Resistor_SMD:R_0402_1005Metric","C25792"
"R21","1","15k","Resistor_SMD:R_0402_1005Metric","C25756"
"R24,R25,R26,R27","4","100k","Resistor_SMD:R_0402_1005Metric","C25741"
"SW1,SW2","2","SW_Push","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"U1","1","RP2350A-QFN60","Package_DFN_QFN:QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm","C42411118"
"U2","1","W25Q128JVS","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","C97521"
"U3","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"U4","1","MMC5983MA","Package_LGA:LGA-16_3x3mm_P0.5mm","C404329"
"U5","1","ICM-42688-P","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","C48586483"
"U6","1","INA226","Package_SO:VSSOP-10_3x3mm_P0.5mm","C49851"
"U7","1","KX134-1211","Package_LGA:LGA-12_2x2mm_P0.5mm","C2157908"
"U8","1","MS5611-01BA","Package_LGA:LGA-8_3x5mm_P1.25mm","C15639"
"U9,U11,U12,U13","4","MCS1802GS-50-Z","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","C3684509"
"U10","1","LM75B","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","C34565"
"U14","1","TPS2121RUXR","Package_DFN_QFN:Texas_VQFN-HR-12_2x2.5mm_P0.5mm","C485916"
"U15","1","AP62150WU","Package_TO_SOT_SMD:TSOT-23-6","C3194237"
"Y1","1","ABM8-272-T3","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C20625731"
