Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0402_1005Metric",95.350000,-101.800000,135.000000,top
"C2","4.7u","C_0402_1005Metric",94.650000,-102.500000,135.000000,top
"C3","4.7u","C_0402_1005Metric",93.250000,-100.250000,45.000000,top
"C4","4.7u","C_0402_1005Metric",103.750000,-95.500000,45.000000,top
"C5","100n","C_0402_1005Metric",104.500000,-105.650000,-45.000000,top
"C6","100n","C_0402_1005Metric",95.000000,-95.500000,135.000000,top
"C7","100n","C_0402_1005Metric",96.750000,-106.750000,-135.000000,top
"C8","100n","C_0402_1005Metric",101.139411,-106.339411,-45.000000,top
"C9","100n","C_0402_1005Metric",92.650000,-97.750000,135.000000,top
"C10","100n","C_0402_1005Metric",102.050000,-93.950000,45.000000,top
"C11","100n","C_0402_1005Metric",101.850000,-105.600000,-45.000000,top
"C12","100n","C_0402_1005Metric",93.400000,-97.000000,135.000000,top
"C13","100n","C_0402_1005Metric",106.800000,-98.200000,45.000000,top
"C14","100n","C_0402_1005Metric",95.700000,-94.800000,135.000000,top
"C15","100n","C_0402_1005Metric",106.000000,-104.300000,-45.000000,top
"C16","15p","C_0402_1005Metric",110.926777,-97.039447,45.000000,top
"C17","15p","C_0402_1005Metric",106.926777,-93.128858,-135.000000,top
"C18","10u","C_0805_2012Metric",91.000000,-98.250000,135.000000,top
"C19","100n","C_0402_1005Metric",103.250000,-118.000000,-90.000000,top
"C20","10u","C_0805_2012Metric",116.500000,-130.750000,180.000000,top
"C21","10u","C_0805_2012Metric",113.000000,-130.750000,180.000000,top
"C22","1u","C_0805_2012Metric",125.000000,-103.000000,180.000000,top
"C23","10u","C_0805_2012Metric",125.000000,-97.000000,180.000000,top
"C24","100n","C_0402_1005Metric",74.750000,-111.750000,90.000000,top
"C25","100n","C_0402_1005Metric",118.000000,-92.250000,-90.000000,top
"C26","100n","C_0402_1005Metric",122.000000,-92.250000,-90.000000,top
"C27","100n","C_0402_1005Metric",122.500000,-109.250000,90.000000,top
"C28","100n","C_0402_1005Metric",80.905000,-89.950000,-90.000000,top
"C29","100n","C_0402_1005Metric",115.000000,-97.850000,0.000000,top
"C30","100n","C_0402_1005Metric",117.000000,-97.850000,180.000000,top
"C31","100n","C_0402_1005Metric",120.000000,-84.770000,90.000000,top
"C32","100n","C_0402_1005Metric",87.000000,-85.000000,90.000000,top
"C33","100n","C_0402_1005Metric",100.000000,-85.150000,90.000000,top
"C34","100n","C_0402_1005Metric",106.500000,-85.000000,90.000000,top
"C35","1u","C_0805_2012Metric",83.800000,-98.300000,90.000000,top
"C37","10u","C_0805_2012Metric",106.500000,-118.000000,0.000000,top
"C38","100n","C_0402_1005Metric",104.250000,-118.000000,-90.000000,top
"C39","10u","C_0805_2012Metric",65.750000,-103.500000,90.000000,top
"C40","100n","C_0402_1005Metric",72.000000,-100.750000,-90.000000,top
"C41","22u","C_0805_2012Metric",65.750000,-100.000000,-90.000000,top
"D1","RED_LED","LED_0805_2012Metric",88.000000,-107.000000,0.000000,top
"D2","YELLOW_LED","LED_0805_2012Metric",88.000000,-109.000000,0.000000,top
"D3","GREEN_LED","LED_0805_2012Metric",88.000000,-111.000000,0.000000,top
"D4","RED_LED","LED_0805_2012Metric",88.000000,-105.000000,0.000000,top
"L1","3.3u","AOTA-B201610S3R3-101-T(L_0806_2016metric)",93.600000,-103.650000,135.000000,top
"L3","3.3u","AOTA-B201610S3R3-101-T(L_0806_2016metric)",69.250000,-99.000000,0.000000,top
"R1","33","R_0402_1005Metric",91.900000,-101.600000,45.000000,top
"R2","22","R_0402_1005Metric",96.000000,-106.000000,-135.000000,top
"R3","22","R_0402_1005Metric",95.250000,-105.250000,-135.000000,top
"R4","1k","R_0402_1005Metric",93.000000,-125.000000,0.000000,top
"R5","1k","R_0402_1005Metric",107.000000,-125.000000,0.000000,top
"R6","1k","R_0402_1005Metric",104.500000,-96.250000,-135.000000,top
"R7","4.7k","R_0402_1005Metric",97.100000,-93.400000,-45.000000,top
