Designator,Mid X,Mid Y,Rotation,Layer
C1,8.6,5.3,0.0,top
C10,-8.6,-5.2,180.0,top
C11,-8.6,-3.7,180.0,top
C12,-11.9,7.4,180.0,top
C13,0.0,8.8,0.0,top
C14,0.2,-9.2,135.0,top
C15,2.15,-7.15,225.0,top
C16,3.578249,-8.571751,225.0,top
C17,11.6,-3.7,0.0,top
C18,-11.9,4.39,180.0,top
C19,-11.9,-1.4,0.0,top
C2,-8.15,0.925,270.0,top
C20,-9.0,18.4,180.0,bottom
C21,9.025,17.4,180.0,bottom
C22,-9.0,21.4,180.0,bottom
C23,11.675,18.15,270.0,bottom
C24,0.0,19.8,180.0,bottom
C25,11.1,13.3,270.0,bottom
C28,-9.0,12.8,180.0,bottom
C29,-9.0,14.3,180.0,bottom
C3,-8.6,-6.95,180.0,top
C30,0.075,-26.675,180.0,top
C31,7.3,-14.5,180.0,bottom
C32,14.9,-8.85,180.0,bottom
C33,14.9,-15.25,180.0,bottom
C34,2.1,-25.2,270.0,bottom
C35,8.1,-25.2,270.0,bottom
C36,8.1,-28.6,90.0,bottom
C37,-3.725,-14.5,180.0,bottom
C38,-7.9,-25.2,270.0,bottom
C39,-1.9,-25.2,270.0,bottom
C4,-11.9,5.9,180.0,top
C40,-1.9,-28.6,90.0,bottom
C41,-11.9,-2.9,180.0,top
C42,-9.55,-9.7,180.0,bottom
C44,22.4,-41.2,0.0,top
C45,-22.4,-41.2,180.0,top
C46,18.8,-45.025,90.0,bottom
C47,7.55,-45.025,90.0,bottom
C48,-7.55,-44.975,90.0,bottom
C49,-18.8,-44.975,90.0,bottom
C5,8.6,-6.7,0.0,top
C50,-9.24441,-16.42128,0.0,bottom
C51,4.45,-18.85,90.0,top
C6,8.6,6.8,0.0,top
C7,8.6,3.8,0.0,top
C8,8.6,-3.7,0.0,top
C9,-8.6,-8.7,180.0,top
D1,-9.0,-21.2,0.0,top
D2,9.0,-21.2,180.0,top
D4,9.6,-12.2,0.0,bottom
D5,-9.6,-12.2,180.0,bottom
G1,-13.17,-46.29,0.0,top
G2,13.15,-46.3,0.0,top
G3,-9.3,-30.8,0.0,top
J1,21.6,0.0,90.0,top
J10,14.43,-46.3,180.0,top
J11,-11.89,-46.25,180.0,top
J12,-15.50441,-0.01128,90.0,bottom
J13,23.6,13.8,270.0,top
J14,11.89,-46.3,180.0,top
J15,-14.43,-46.25,180.0,top
J16,9.35,-46.3,180.0,top
J17,-16.97,-46.25,180.0,top
J18,-23.6,13.8,90.0,top
J19,23.6,24.1,270.0,top
J26,-23.6,24.1,90.0,top
J27,23.6,-22.1,270.0,top
J29,-23.6,-22.1,90.0,top
J30,-23.6,-28.4,90.0,top
J31,23.6,-28.4,270.0,top
J5,0.0,-42.175,180.0,top
J6,23.6,-13.8,270.0,top
J7,16.97,-46.3,180.0,top
J8,-9.35,-46.25,180.0,top
J9,-23.6,-13.8,90.0,top
L1,4.9,-10.0,225.0,top
L2,5.0,-24.5,0.0,bottom
L3,-5.025,-24.55,0.0,bottom
R1,2.682862,-11.315185,135.0,top
R10,11.6,3.8,0.0,top
R11,9.0,-19.2,0.0,top
R12,-9.0,-19.2,0.0,top
R15,2.6,-18.2,0.0,bottom
R16,4.1,-19.7,180.0,bottom
R17,6.4,-12.2,180.0,bottom
R18,8.6,-18.2,180.0,bottom
R19,0.0,-32.2,0.0,top
R2,11.6,-5.2,0.0,top
R20,7.1,-19.7,0.0,bottom
R21,4.1,-14.7,0.0,bottom
R22,1.4,-27.5,180.0,bottom
R23,-8.4,-18.2,0.0,bottom
R24,-6.925,-19.7,180.0,bottom
R25,-6.4,-12.2,0.0,bottom
R26,1.4,-29.0,0.0,bottom
R27,-2.425,-18.2,180.0,bottom
R28,-3.925,-19.7,0.0,bottom
R29,-6.925,-14.7,0.0,bottom
R3,11.6,-6.7,0.0,top
R30,-8.6,-27.5,180.0,bottom
R31,-8.6,-29.0,0.0,bottom
R32,-12.8,-12.4,0.0,bottom
R33,-12.8,10.9,0.0,bottom
R34,-12.8,12.4,0.0,bottom
R35,-12.8,-10.9,180.0,bottom
R36,-12.8,9.4,180.0,bottom
R37,-12.8,-9.4,0.0,bottom
R4,-9.0,-23.2,0.0,top
R5,-9.65,0.925,90.0,top
R6,9.0,-23.2,180.0,top
R7,4.925,10.7,90.0,bottom
R8,6.4,10.7,90.0,bottom
R9,11.6,5.3,0.0,top
SW1,9.0,-16.2,180.0,top
SW2,-9.0,-16.2,180.0,top
U1,11.6,0.0,180.0,top
U10,0.0,-29.2,0.0,top
U11,14.9,-12.05,90.0,bottom
U12,5.0,-27.2,180.0,bottom
U13,-5.4,-17.2,0.0,bottom
U14,-5.0,-27.2,180.0,bottom
U15,0.0,-17.2,180.0,top
U2,0.0,0.0,315.0,top
U3,-9.0,19.8,0.0,top
U4,9.0,19.8,90.0,top
U5,0.0,16.3,0.0,top
U6,9.0,13.8,0.0,top
U8,-9.0,13.54225,0.0,top
U9,5.6,-17.2,0.0,bottom
Y1,-12.15,1.5,270.0,top
